User;Time
18096546;6110712
82181276;6571939
23339354;7694923
40641831;6106019
37961961;6557432
66594468;5268900
32940778;5100367
65015868;5925112
46119309;5238607
32770791;5229220
80317669;5910606
58202732;5455353
26464286;5209167
30004615;5800099
84452253;6679885
08823186;8524362
57058730;6468685
44083345;4890873
42766148;5040207
31435569;5418233
71406492;5918285
01882738;7645857
08476935;5658446
23408558;7074551
76008671;6042872
43241466;7357857
77240146;8126709
97191815;6544632
37807850;5805219
30914524;6263885
03629610;7462391
56285369;5192100
00686084;5714340
55614604;5777913
55713078;6449058
71837824;5537700
56405683;6212259
56371375;6003619
94254219;5652900
74447197;6876578
20535079;5207033
26623227;4878074
38259748;5055140
46356497;4496208
62092738;5032527
92389173;5874766
06393210;4931407
05996468;4723194
99840291;5879032
17745486;5557326
36090246;6473805
39360676;6442659
17994808;5667407
47514071;5557326
39768758;5870926
33159702;5472846
80123239;6127352
67710175;7171830
49111798;7331831
05696377;7711564
54350933;7160737
46124263;6617592
09539303;4921167
51311946;4785487
72070697;6517325
78497819;5637540
83837786;5283833
13351712;5892260
14512745;6322338
55620596;5631566
47951900;6069325
32755607;5922126
35706460;5838926
15293177;7390711
25723644;5663566
17559225;5114446
95493804;4428794
59998786;4443301
91689005;4970234
04625369;5597006
04697460;6089805
84834765;4997541
05244072;5328634
17983277;5512953
80347014;7150498
95900882;6070606
07008568;5695139
56067016;5485646
59767302;5990393
53872095;5691299
53566051;6931618
40650402;7493537
41513298;6713591
14171424;7807990
85777138;7482443
89153845;5967352
89241751;5811193
88050090;6003192
66524168;5718606
81760679;5451086
57433820;5550499
18710549;7188471
01891650;5993379
06308218;6776738
13765442;5773219
46364508;5624740
61830232;6129912
22027096;4531621
24576298;4726181
28652222;5541966
49967069;5177593
08028658;5080740
01823152;6175566
08786622;4730448
07140244;4742821
93380852;6061218
74568608;7679137
91502096;6749858
88268731;4992846
41880859;4887461
57433586;4843514
68708509;6411938
35318811;7922336
37339298;7473484
79561907;6822818
70063204;7613430
53925860;9933214
56576070;6204579
12849459;5269753
61865069;6534819
46346700;6210979
27960453;5179727
62947629;5723300
63313810;6334711
19632276;5845326
53479503;5820153
72491990;6263459
12661673;6113272
35786542;5501860
76070996;7075404
63996691;4625061
94964185;5098660
67568555;4727887
86072522;4971941
36548613;5010340
49508150;6051832
66165369;4853754
66586366;5011620
86422443;5456207
02689515;6357752
45175317;6543779
53994873;6045006
29815004;5600846
20411045;5672952
36670244;7279350
80626615;6759245
77678168;7156044
49112674;5744206
30307307;6505805
36284258;7761057
41524258;6219512
13779385;5771086
71968126;5299194
23489092;10822386
03503403;5278713
99364907;5349966
31814879;6476792
45579269;5766819
14696834;5694713
34095554;6328739
03640459;6130338
58996142;6500258
33401149;6685858
77209277;5747192
86294710;5676366
72081930;4526501
68403538;4452687
56182749;5099087
79814631;6288205
55712655;4758181
15785471;8092577
54695931;5395193
98523564;6144419
83589118;7573324
85619640;6083406
19280931;6004472
14760065;6399565
24026363;4685221
44202902;6472952
85727410;5778339
48574468;6647458
15607700;7253751
03400992;6844578
47019334;6571938
99286081;6317219
88749675;5651193
68216912;5601272
21489694;6825805
34364145;6254925
59067889;5769806
81519942;5314553
22252188;6175565
57576586;5846606
71531691;5807352
24658253;7039138
11515444;6248525
68498661;5791993
74628559;5963939
43235625;4861434
65368875;4433061
58333944;5636686
19018930;5562020
29798316;5092687
23160624;6046712
15370302;5004793
90562270;5068367
69789022;5361060
36217711;6657698
61231683;6254925
51265949;7081378
61369143;5059834
46575194;4552528
64687223;5660153
13862393;5418659
86905009;6006179
42452584;8271349
23132370;6054819
15377787;7373644
49206143;7334817
34554600;6842871
27046452;4518821
83262152;4714661
84595813;6202872
65452590;6794658
21144467;5594020
20115210;6073166
67717336;5844899
84042557;5308580
53696157;7027191
24821814;5713059
24396372;5972472
58753091;6060366
26163849;5769379
